date,close
2025-09-30,89.3700
2025-10-01,89.2900
2025-10-02,89.5500
2025-10-03,89.3800
2025-10-06,88.6700
2025-10-07,89.1800
2025-10-08,89.2500
2025-10-09,89.1800
2025-10-10,90.6200
2025-10-13,90.5700
2025-10-14,90.8600
2025-10-15,90.6600
2025-10-16,91.3400
2025-10-17,91.2000
2025-10-20,91.5500
2025-10-21,92.0000
2025-10-22,92.0600
2025-10-23,91.4300
2025-10-24,91.4700
2025-10-27,91.7800
2025-10-28,92.0200
2025-10-29,91.0900
2025-10-30,90.5600
2025-10-31,90.2900
2025-11-03,89.7400
2025-11-04,89.9400
2025-11-05,88.9600
2025-11-06,89.7600
2025-11-07,89.5700
2025-11-10,89.5500
2025-11-11,89.9600
2025-11-12,90.1200
2025-11-13,89.3800
2025-11-14,88.8700
2025-11-17,89.0900
2025-11-18,89.0600
2025-11-19,88.8800
2025-11-20,89.2300
2025-11-21,89.5000
2025-11-24,90.0100
2025-11-25,90.2400
2025-11-26,90.6400
2025-11-28,90.2100
2025-12-01,88.7700
2025-12-02,88.8100
2025-12-03,89.0600
2025-12-04,88.5800
2025-12-05,88.1700
2025-12-08,87.8800
2025-12-09,87.9700
2025-12-10,88.3100
2025-12-11,88.1900
2025-12-12,87.3400
2025-12-15,87.4000
2025-12-16,87.8800
2025-12-17,87.8000
2025-12-18,88.2200
2025-12-19,87.5500
2025-12-22,87.3600
2025-12-23,87.5000
2025-12-24,88.0300
2025-12-26,87.7400
2025-12-29,88.0700
2025-12-30,87.8600
2025-12-31,87.1600
2026-01-02,87.0300
2026-01-05,87.4600
2026-01-06,87.2800
2026-01-07,87.7900
2026-01-08,87.3500
2026-01-09,87.9300
2026-01-12,87.6700
2026-01-13,87.8200
2026-01-14,88.3300
2026-01-15,88.3100
2026-01-16,87.8000
2026-01-20,86.6500
2026-01-21,87.3100
2026-01-22,87.6900
2026-01-23,87.9300
2026-01-26,88.3500
2026-01-27,87.8000
2026-01-28,87.6000
2026-01-29,87.6200
2026-01-30,87.1300
2026-02-02,86.5500
2026-02-03,86.7600
2026-02-04,86.5400
2026-02-05,87.4800
2026-02-06,87.5400
2026-02-09,87.5200
2026-02-10,88.5300
2026-02-11,88.0600
2026-02-12,89.2300
2026-02-13,89.7200
2026-02-17,89.8700
2026-02-18,89.5300
2026-02-19,89.6200
2026-02-20,89.4100
2026-02-23,89.7400
2026-02-24,89.9000
2026-02-25,89.9100
2026-02-26,90.2700
2026-02-27,90.8200
2026-03-02,89.6100
2026-03-03,89.4300
2026-03-04,89.1500
2026-03-05,88.7900
2026-03-06,88.4600
2026-03-09,89.2300
2026-03-10,88.2800
2026-03-11,87.1400
2026-03-12,86.9700
2026-03-13,86.5400
2026-03-16,87.2100
2026-03-17,87.4500
2026-03-18,86.9600
2026-03-19,87.4900
2026-03-20,85.8300
2026-03-23,86.3900
2026-03-24,86.0100
2026-03-25,86.8400
2026-03-26,86.1100
2026-03-27,85.6400
2026-03-30,86.7800
2026-03-31,86.6900
2026-04-01,86.2600
2026-04-02,86.7900
2026-04-06,86.6500
2026-04-07,86.6400
2026-04-08,86.9200
2026-04-09,86.7000
2026-04-10,86.4900
2026-04-13,86.7500
2026-04-14,87.2100
2026-04-15,86.8300
2026-04-16,86.2800
2026-04-17,87.0700
2026-04-20,87.0500
2026-04-21,86.5700
2026-04-22,86.7400
2026-04-23,86.5500
2026-04-24,86.7100
2026-04-27,86.2800
2026-04-28,86.3700
2026-04-29,85.7000
2026-04-30,85.6200
2026-05-01,85.6100
2026-05-04,84.9600
2026-05-05,85.4300
2026-05-06,86.0800
2026-05-07,85.6500
2026-05-08,86.0800
2026-05-11,85.5600
2026-05-12,84.9900
2026-05-13,84.8000
2026-05-14,84.9200
2026-05-15,83.6600
2026-05-18,83.5600
2026-05-19,83.0200
2026-05-20,83.9100
2026-05-21,84.2200
2026-05-22,84.6800
2026-05-26,85.1000
2026-05-27,85.3000
2026-05-28,85.7400
2026-05-29,85.7600
2026-06-01,85.4700
2026-06-02,85.6500
2026-06-03,85.3100
2026-06-04,85.5000
2026-06-05,85.0600
2026-06-08,84.6200
2026-06-09,85.1200
2026-06-10,84.8800
2026-06-11,85.9800
2026-06-12,85.7700
2026-06-15,85.7200
2026-06-16,86.1900
2026-06-17,86.3300
2026-06-18,86.7500
2026-06-22,86.0900
2026-06-23,86.2000
2026-06-24,87.3800
2026-06-25,87.3500
2026-06-26,87.3600
2026-06-29,87.4500
2026-06-30,86.4200
2026-07-01,85.5200
2026-07-02,85.5100
2026-07-06,85.4500
2026-07-07,84.5500
2026-07-08,84.3600
2026-07-09,84.4900
2026-07-10,84.4700
2026-07-13,83.9700
2026-07-14,84.0800
2026-07-15,84.2400
2026-07-16,84.2100
2026-07-17,84.5200
2026-07-20,83.8900
2026-07-21,83.6600
2026-07-22,83.4400
2026-07-23,83.1700
2026-07-24,83.2500
2026-07-27,83.7500
2026-07-28,84.2400
2026-07-29,82.8500
2026-07-30,82.8000
2026-07-31,82.2500
2026-08-03,82.1900
2026-08-04,82.8200
2026-08-05,83.0000
2026-08-06,82.5200
2026-08-07,82.7600
2026-08-10,82.0600
2026-08-11,82.1900
2026-08-12,82.1100
2026-08-13,82.5900
2026-08-14,82.0400
2026-08-17,81.3500
2026-08-18,81.6600
2026-08-19,83.0200
2026-08-20,82.3400
2026-08-21,82.0500
2026-08-24,82.5600
2026-08-25,83.4700
2026-08-26,83.3000
2026-08-27,83.1300
2026-08-28,82.8800
2026-08-31,82.5200
2026-09-01,81.8700
2026-09-02,81.9500
2026-09-03,82.0700
2026-09-04,82.2100
2026-09-08,82.2000
2026-09-09,81.7300
2026-09-10,80.7800
2026-09-11,80.8700
2026-09-14,80.9300
2026-09-15,80.7100
2026-09-16,80.8800
2026-09-17,81.7800
